Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
4265;Av_Champs_Elysees;2022-11-09T13:00:00+01:00;1524.0;17.795;Pré-saturé;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T10:00:00+01:00;1318.0;15.95;Pré-saturé;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T09:00:00+01:00;1279.0;20.86278;Pré-saturé;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T08:00:00+01:00;948.0;9.17389;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T06:00:00+01:00;312.0;1.71834;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T05:00:00+01:00;299.0;1.49945;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T04:00:00+01:00;283.0;1.74;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T02:00:00+01:00;638.0;5.65889;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-09T01:00:00+01:00;1047.0;9.13667;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-03T00:00:00+01:00;1233.0;7.485;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-02T23:00:00+01:00;1130.0;6.83056;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
4265;Av_Champs_Elysees;2022-11-02T19:00:00+01:00;1506.0;12.09333;Fluide;2294;Av_Champs_Elysees-Washington;2296;Av_Champs_Elysees-Balzac;Invalide;2005-01-01;2019-06-01;48.872281170534215,2.3002135268762136;"{""coordinates"": [[2.3008608816978273, 48.87207295286932], [2.2995661720546, 48.872489388199135]], ""type"": ""LineString""}"
